company,modality,position,seniority,ab,agile,ai,algorithm,analytical skill,attention detail,automation,aws,azure,bachelor,big data,business intelligence,communication,computer science,creativity,curiosity,dashboard,data mining,decision making,deep learning,economics,engineering,etl,excel,kpi,leadership,looker,machine learning,master,mathematics,modeling,motivation,natural language,optimization,ph,power bi,prediction,presentation,proactive,problem solving,programming,python,qlik,quantitative,r,reporting,research,segmentation,sql,statistic,storytelling,tableau,team work,visualization
Applus+ Laboratories,On-site,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08912576873869078,0.0,0.0,0.0,0.023524459460638254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04042724895150179,0.0,0.10487788562331476,0.0,0.0,0.03526381406937492,0.0,0.0,0.0,0.0,0.0,0.0,0.02856078289653864,0.0,0.0,0.05891378884305619,0.0,0.0,0.0,0.0,0.0
eDreams ODIGEO,Unknown,data analyst,unknown,0.0,0.0,0.0,0.0,0.020162857021234836,0.01848477816950807,0.0,0.0,0.0,0.0,0.0,0.0,0.011337217612495818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017144858084060577,0.016994802138601325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041293166980915876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OnFrontiers,Remote,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.014697405661698307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013879003394185905,0.0,0.010660964287136311,0.0,0.0,0.0,0.0,0.017343354247016635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012953342816187454,0.0,0.0,0.0,0.0,0.01339602459936883,0.0,0.0,0.0,0.0,0.010524825910179418,0.00722795225888705,0.0,0.0,0.0,0.0,0.0125447485067332,0.0,0.007525042671227888,0.0,0.0,0.010458043824675967,0.0,0.009952031996792473
Product Madness 📱🎮,Hybrid,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019365999778877912,0.0,0.0,0.033173413998760996,0.028145607338637895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023338879848300825,0.0,0.019671964217306426,0.03254199226910194,0.020153270958226263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011245504918192869,0.0,0.05809799933663373,0.0,0.01702734989009347,0.0,0.0,0.0,0.0,0.0,0.01627099613455097,0.0,0.03096744991040524
eDreams ODIGEO,Unknown,data scientist,unknown,0.0,0.0,0.0,0.015814485434757063,0.0,0.0,0.0,0.0,0.0,0.0,0.04148050235606147,0.0,0.011095462459969646,0.015321056900643042,0.0,0.0,0.0,0.02226688301467145,0.0,0.0,0.0,0.01067371461063546,0.0,0.0,0.0,0.0,0.0,0.07439939130130276,0.0,0.012872501314365011,0.0,0.0,0.0,0.019067771731451518,0.0,0.0,0.0,0.0,0.0,0.0,0.012954701436857407,0.008896675756240095,0.0,0.030642113801286085,0.01312227019691349,0.0,0.015440965284566975,0.0,0.018524711370490953,0.010911370749079084,0.0,0.0,0.0,0.0
Homelike,Unknown,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018126910105890445,0.0,0.0,0.02354661135441274,0.0,0.0,0.022302423586657426,0.01392393501077919,0.0,0.0,0.0,0.0,0.0,0.023627209875760207,0.0,0.03529702036959428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01374612915174372,0.018880381699654242,0.0,0.0,0.0,0.014293838631400114,0.0,0.0,0.0,0.0,0.028808430821796197,0.0,0.04460484717331485,0.012998021850212552
CaixaBank Tech,Hybrid,data scientist,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041420157901199656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02163670036913875,0.0,0.0,0.0,0.02191657058229907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novartis España,Unknown,data scientist,unknown,0.0,0.0,0.0,0.031034309406638604,0.0,0.0,0.0,0.0,0.0,0.0,0.020350310317899203,0.017931114314757315,0.0,0.015033003199910178,0.0,0.0,0.0,0.02184823969928159,0.0,0.020623200917858058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02433353205236799,0.0,0.01263048330833986,0.03128825676576832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008729407897865535,0.021519349081487293,0.030066006399820357,0.01287555624520962,0.0,0.03030131433332837,0.0,0.0,0.01070622428009047,0.0,0.01263048330833986,0.0,0.02403871625073176
Touchpoint Resource Ltd,Hybrid,data scientist,senior,0.0,0.030090237091671728,0.0,0.0,0.03249124484479318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018269251868341805,0.0,0.0,0.034607832748955944,0.02160649546395776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030402140798351424,0.020417073247113924,0.025625472593459674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041608105807215925,0.0,0.0,0.0,0.021330584847904118,0.01464883602356537,0.0,0.0504538226174684,0.02160649546395776,0.0,0.0,0.034607832748955944,0.015250946909010606,0.03593227072111216,0.0,0.021195238101714843,0.0,0.020169707767928268
Criteo,Unknown,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.02344555989579849,0.025573986748814906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02174604387613837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02801041768645044,0.01678938732112602,0.0,0.0,0.0,0.0,0.017458354307533036,0.0,0.0,0.012004080361372177,0.014141215882404296,0.0,0.0,0.0,0.0
